,RequestBrand,SanctionBrand,similarityBrand,RequestId,RequestName,enterprise_id,SanctionName,RequestTrade,SanctionTrade,similarityTrade,RequestPlace,SanctionPlace,similarityPlace,boost_similarity
37,能士,华能,0.3316348200874517,e,宁波能士通信设备有限公司,71093044-8,华能新能源股份有限公司,,,0.0,,,0.0,0.3316348200874517
38,能士,申能风力,0.3103633590299567,e,宁波能士通信设备有限公司,58343120-7,上海申能长兴第二风力发电有限公司,,,0.0,,,0.0,0.3103633590299567
39,能士,锦能,0.2999146042130407,e,宁波能士通信设备有限公司,MA35UHAR-1,南昌锦能针织有限公司,,,0.0,,,0.0,0.2999146042130407
40,能士,鲁能泰山,0.29657589052968975,e,宁波能士通信设备有限公司,26719557-2,山东鲁能泰山电力设备有限公司,,,0.0,,,0.0,0.29657589052968975
41,全思,全思,0.9999999999999998,f,浙江全思科技股份有限公司,MA29FRYJ-6,浙江全思科技股份有限公司,科技股份,科技股份,1.0,浙江,浙江,1.0,0.9999999999999998
42,全思,全一,0.3080917790777689,f,浙江全思科技股份有限公司,56204511-2,成都全一食品有限公司,,,0.0,,,0.0,0.3080917790777689
43,全思,全行,0.2634940028566413,f,浙江全思科技股份有限公司,34196800-1,浙江全行医药有限公司,,,0.0,浙江,浙江,1.0,0.3371446025709772
44,全思,全顺,0.26237686453411957,f,浙江全思科技股份有限公司,10301384-0,北京全顺地基机械施工有限公司,,,0.0,,,0.0,0.26237686453411957
45,全思,全雅,0.2516155669615514,f,浙江全思科技股份有限公司,58442817-3,北京全雅建筑工程有限公司,,,0.0,,,0.0,0.2516155669615514
46,丹力,丹力,1.0,g,广州丹力酒业有限公司,58186984-6,广州丹力酒业有限公司,酒业,酒业,1.0,广州,广州,0.9999999999999999,1.0
47,丹力,枫丹白露,0.495600039498515,g,广州丹力酒业有限公司,74347085-5,浙江枫丹白露纺织品有限公司,,,0.0,,,0.0,0.495600039498515
48,丹力,巨力,0.3795239515081935,g,广州丹力酒业有限公司,68701571-8,巨力新能源股份有限公司,,,0.0,,,0.0,0.3795239515081935
49,丹力,一牛,0.29493958125287906,g,广州丹力酒业有限公司,35216172-1,大庆市一牛乳品有限责任公司,,,0.0,,,0.0,0.29493958125287906
50,丹力,东丹,0.2716352172266032,g,广州丹力酒业有限公司,70910626-7,东丹矿业开发有限责任公司,,,0.0,,,0.0,0.2716352172266032
51,丹力,立力煤矿,0.26618661455639114,g,广州丹力酒业有限公司,24969965-4,南京立力煤矿机械制造有限公司,,,0.0,,,0.0,0.26618661455639114
