,RequestName,SanctionName,similarityScore,RequestId,enterprise_id,enterprise_name
0,成都通发众好物业自贡分,成都通发众好物业自贡分,1.0000000000000002,a,67142188-5,成都通发众好物业自贡分
1,成都通发众好物业自贡分,北京久好物业管理,0.2861807418501438,a,MA007JM9-0,北京久好物业管理
2,成都通发众好物业自贡分,保利物业发展股份成都分,0.24559229646567318,a,67716582-7,保利物业发展股份成都分
3,成都通发众好物业自贡分,自贡市远彬园林,0.2208075112125315,a,70891025-3,自贡市远彬园林
4,成都通发众好物业自贡分,成都市自来水,0.21136274858981713,a,20190763-7,成都市自来水
5,成都通发众好物业自贡分,自贡市远春生猪养殖,0.19192517418048383,a,MA6AQGR1-2,自贡市远春生猪养殖
6,成都通发众好物业自贡分,广昌县众发铜业,0.1819463243804872,a,68092527-6,广昌县众发铜业
7,成都通发众好物业自贡分,成都通灵中药饮片精选,0.17309026565587418,a,74032126-4,成都通灵中药饮片精选
8,成都通发众好物业自贡分,成都都成环保股份,0.1727755777504148,a,77748420-0,成都都成环保股份
9,成都通发众好物业自贡分,成都交通投资集团,0.16563606208331288,a,79783792-3,成都交通投资集团
10,固原宝发农牧,固原宝发农牧,1.0000000000000004,b,79994516-X,固原宝发农牧
11,固原宝发农牧,四川乐原农业服务,0.25523920707968184,b,MA67LA14-5,四川乐原农业服务
12,新乐天牙科,四川乐原农业服务,0.13505056915488473,k,MA67LA14-5,四川乐原农业服务
13,固原宝发农牧,北海宝农农业科技,0.2458661099931751,b,05438046-7,北海宝农农业科技
14,固原宝发农牧,合肥亚博农牧,0.23178569050363898,b,75299145-X,合肥亚博农牧
15,固原宝发农牧,大成农牧营口,0.22585624653544484,b,60406248-0,大成农牧营口
16,固原宝发农牧,太原市保安服务,0.2234111381367428,b,11010177-7,太原市保安服务
17,固原宝发农牧,吉林省金沃农牧科技,0.2031535135891504,b,56392825-9,吉林省金沃农牧科技
18,固原宝发农牧,平原信达化工股份,0.20163070614063938,b,69441329-8,平原信达化工股份
19,固原宝发农牧,绍兴市原水集团,0.18947373752344054,b,MA2D72N2-9,绍兴市原水集团
20,固原宝发农牧,厦门原光植物油,0.18187116226072086,b,MA348Y7B-7,厦门原光植物油
21,富士康电子工业发展昆山,富士康电子工业发展昆山,1.0,c,60828043-4,富士康电子工业发展昆山
22,富士康电子工业发展昆山,富士康精密电子烟台,0.369340795532754,c,79036309-1,富士康精密电子烟台
23,富士康电子工业发展昆山,广元市利兴工业发展集团,0.2864768879649863,c,MA6A4B56-X,广元市利兴工业发展集团
24,富士康电子工业发展昆山,保利物业发展股份,0.2806571805523456,c,23124537-1,保利物业发展股份
25,富士康电子工业发展昆山,华农健康产业发展,0.2720387240292883,c,MA59PCCX-X,华农健康产业发展
26,富士康电子工业发展昆山,东贺隆昆山电子,0.26963366572585923,c,57382881-7,东贺隆昆山电子
27,富士康电子工业发展昆山,利宾来塑胶工业昆山,0.2641657561484132,c,60828202-6,利宾来塑胶工业昆山
28,富士康电子工业发展昆山,四川丰瑞农业发展,0.2313219598612066,c,33194841-0,四川丰瑞农业发展
