,similarity
0,0.9999999999999999
1,0.7185410517450832
2,0.675950122862867
3,0.6016327117805957
4,0.5885729446535074
5,0.5826846598560345
6,0.5810706309419469
7,0.5576882731089777
8,0.536370278886366
9,0.5285581420190182
10,0.8246260343695907
11,0.7797895320383192
12,0.7335681499454239
13,0.652915918497549
14,0.6387429360745843
15,0.6323527335446405
16,0.6306011247137242
17,0.6052256533634913
18,0.5820905120956775
19,0.5736124682355341
20,0.8310157424106307
21,0.7817579688999118
22,0.7301739250286354
23,0.6958075024727269
24,0.6807034634641422
25,0.6738934734842889
26,0.6720267973451105
27,0.6449843515353901
28,0.6203294083660551
29,0.6112944218432036
30,0.18056436665307798
31,0.1622201777086761
32,0.16204286103598117
33,0.1532412305520941
34,0.15281347229876685
35,0.15277276433056444
36,0.15277276433056444
37,0.1513667585328439
38,0.15064843267790112
39,0.14952057189195522
40,1.0
41,0.510774434803226
42,0.3823533311611901
43,0.3783056675468502
44,0.37216208119464933
45,0.35613936693951476
46,0.3520408750235694
47,0.3450136622115155
48,0.3309848572463022
49,0.3277948145974322
50,0.6677252479921905
51,0.39903599314278493
52,0.37734615269399474
53,0.371355639938737
54,0.3588291965763822
55,0.3168146665381775
56,0.3133788430832099
57,0.3117569565670215
58,0.3038026433566665
59,0.27374135155965856
60,0.5934235766974674
61,0.47149426626823093
62,0.3773787877798565
63,0.3645162616774278
64,0.3572840665037854
65,0.34005504973040984
66,0.3192637766920061
67,0.128170619831783
68,0.12107632836477031
69,0.12073835536263508
70,0.9999999999999999
71,0.4309208685808516
72,0.3541713519398195
73,0.34038890932423516
74,0.23698453850656004
75,0.23691773848768105
76,0.2274810759238383
77,0.22661499633950627
78,0.2175494147657146
79,0.19220836108065328
80,0.8261342654380077
81,0.4780428529404481
82,0.377611058518774
83,0.2628251260883186
84,0.2513957602610305
85,0.24133884077747894
86,0.21972261581207322
87,0.21579899112800638
88,0.2132266965686847
89,0.2101572782543473
90,0.7965209446770806
91,0.49295291309197364
92,0.3893886712615746
93,0.163052788093623
94,0.15455780732158086
95,0.1507845587752086
96,0.1355112943767217
97,0.12961837165577753
98,0.1274398463150137
99,0.12731599336876825
100,1.0000000000000002
101,0.3042427327816837
102,0.23870324384283448
103,0.22294326259454897
104,0.22248440588233112
105,0.22055738938273478
106,0.21452908221155578
107,0.21065965620035698
108,0.2076868813173659
109,0.20679885557313865
110,0.7506277004048358
111,0.31576102398173345
112,0.30661707396875326
113,0.23090741783398103
114,0.2226509144643749
115,0.21462803005020883
116,0.21248432413284796
117,0.20787651639119986
118,0.15480878389847583
119,0.15480878389847583
120,0.582264163217736
121,0.27406508688876735
122,0.26426540468446746
123,0.25260799629866815
124,0.24672960297815225
125,0.23909375883559253
126,0.23592997709481017
127,0.233405123884789
128,0.22293083578191977
129,0.21978489316903338
130,0.8532165813651305
131,0.35658323973838035
132,0.26075958993478565
133,0.2514356693212798
134,0.24237557038831142
135,0.23475120756066037
136,0.1888145915771514
137,0.17522221377290814
138,0.16772256590974183
139,0.14722310665154822
140,0.7885674817680802
141,0.30270490397046035
142,0.2827193204755014
143,0.27969374147690423
144,0.2671422054178904
145,0.2633723633286304
146,0.2604463078876338
147,0.2596845674692544
148,0.20429417147166914
149,0.1895874502450253
150,0.5914534707129985
151,0.2723793980667734
152,0.25277136007727746
153,0.2419525480690576
154,0.1820707888338345
155,0.1700498704261607
156,0.16823004673738612
157,0.163025386393829
158,0.16127716946076792
159,0.16068055533052086
160,1.0
161,0.379793737517662
162,0.34588988394195597
163,0.2477133266077714
164,0.1944887406288746
165,0.14776884130190573
166,0.14609758490425268
167,0.14530596031441975
168,0.12861456742166902
169,0.12008587545853136
170,0.6166825668922706
171,0.6158658569377217
172,0.5608880524789996
173,0.40168692923509375
174,0.23961896968577642
175,0.2085587858755491
176,0.1947288311775958
177,0.1947288311775958
178,0.18764189818137053
179,0.1874561651494737
180,0.7872119229859011
181,0.24706020697854433
182,0.1855886332997897
183,0.18458302786278072
184,0.1522527851445147
185,0.15170436062439815
186,0.15034191925512905
187,0.14621399132524712
188,0.14412243104250558
189,0.13828310189837084
190,1.0
191,0.5468833484136845
192,0.40844803453856515
193,0.354642218855742
194,0.3129777655953083
195,0.3085611038705237
196,0.3051330034979205
197,0.3042405656529342
198,0.29480549732665845
199,0.28311237104273634
200,1.0
201,0.5468833484136845
202,0.40844803453856515
203,0.354642218855742
204,0.3129777655953083
205,0.3085611038705237
206,0.3051330034979205
207,0.3042405656529342
208,0.29480549732665845
209,0.28311237104273634
210,1.0
211,0.5468833484136845
212,0.40844803453856515
213,0.354642218855742
214,0.3129777655953083
215,0.3085611038705237
216,0.3051330034979205
217,0.3042405656529342
218,0.29480549732665845
219,0.28311237104273634
220,1.0
221,0.5468833484136845
222,0.40844803453856515
223,0.354642218855742
224,0.3129777655953083
225,0.3085611038705237
226,0.3051330034979205
227,0.3042405656529342
228,0.29480549732665845
229,0.28311237104273634
230,1.0
231,0.2988724964342015
232,0.22731295616571368
233,0.21849964981926084
234,0.21515091087455396
235,0.1775439535054396
236,0.1395702580693782
237,0.13465470028702856
238,0.13265814667282808
239,0.13121903933031814
240,1.0
241,0.2988724964342015
242,0.22731295616571368
243,0.21849964981926084
244,0.21515091087455396
245,0.1775439535054396
246,0.1395702580693782
247,0.13465470028702856
248,0.13265814667282808
249,0.13121903933031814
250,1.0
251,0.2988724964342015
252,0.22731295616571368
253,0.21849964981926084
254,0.21515091087455396
255,0.1775439535054396
256,0.1395702580693782
257,0.13465470028702856
258,0.13265814667282808
259,0.13121903933031814
260,0.9999999999999999
261,0.32408708597967417
262,0.302394318451941
263,0.22385381630756784
264,0.18828396390727553
265,0.18269652423398886
266,0.17061954182549816
267,0.17055363830906953
268,0.16500151027098464
269,0.15447793288204667
270,0.9999999999999999
271,0.32408708597967417
272,0.302394318451941
273,0.22385381630756784
274,0.18828396390727553
275,0.18269652423398886
276,0.17061954182549816
277,0.17055363830906953
278,0.16500151027098464
279,0.15447793288204667
280,0.9999999999999999
281,0.32408708597967417
282,0.302394318451941
283,0.22385381630756784
284,0.18828396390727553
285,0.18269652423398886
286,0.17061954182549816
287,0.17055363830906953
288,0.16500151027098464
289,0.15447793288204667
