,RequestBrand,SanctionBrand,similarityBrand,RequestId,RequestName,enterprise_id,SanctionName
103,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,10150788-X,北京市电信工程设计院有限公司
104,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,MA5AQBWX-0,北京市电信工程设计院有限公司广州分公司
105,电信,电信,1.0,h,北京市电信工程设计院有限公司广州分公司,10194006-9,北京电信规划设计院有限公司
112,电信,国信,0.2913781717883872,h,北京市电信工程设计院有限公司广州分公司,58649567-9,广元市国信物业管理有限公司
113,电信,国信,0.2913781717883872,h,北京市电信工程设计院有限公司广州分公司,73572480-0,江苏省国信集团有限公司
116,电信,恒信,0.26761386769466317,h,北京市电信工程设计院有限公司广州分公司,74137082-6,天津市恒信地毯有限公司
117,电信,诚信,0.2651795807840757,h,北京市电信工程设计院有限公司广州分公司,74505085-4,嵊州市诚信电子有限公司
118,电信,宏信,0.2563990401488458,h,北京市电信工程设计院有限公司广州分公司,55427197-X,上海宏信家政服务有限公司
119,电信,中国电信集团昱海澜湾营业厅,0.2512411817719413,h,北京市电信工程设计院有限公司广州分公司,MA0EGN4W-7,中国电信集团有限公司唐山曹妃甸昱海澜湾营业厅
121,兴宏,兴宏,0.9999999999999999,i,云南牟定兴宏铜业有限公司,66829081-0,云南牟定兴宏有色金属有限公司
122,兴宏,兴宏,0.9999999999999999,i,云南牟定兴宏铜业有限公司,76042189-5,云南牟定兴宏铜业有限公司
125,兴宏,兴富,0.6858257928031627,i,云南牟定兴宏铜业有限公司,MA52UKBW-8,四会市兴富水产养殖有限公司
126,兴宏,国宏,0.3312462714322529,i,云南牟定兴宏铜业有限公司,MA3XECXN-X,河南国宏融资租赁有限公司
127,兴宏,康宏,0.30129822170042075,i,云南牟定兴宏铜业有限公司,75103955-5,湖北康宏粮油食品有限公司
128,兴宏,川宏,0.2739131385877101,i,云南牟定兴宏铜业有限公司,75637612-0,山东川宏装饰工程有限公司
133,新乐天,新乐天,1.0,j,东莞新乐天牙科器材有限公司,32953598-3,东莞新乐天牙科器材有限公司
134,新乐天,新乐天,1.0,k,新乐天牙科器材公司,32953598-3,东莞新乐天牙科器材有限公司
137,乐天,新乐天,0.7267789100956722,l,新乐天,32953598-3,东莞新乐天牙科器材有限公司
138,新乐天,君乐宝,0.3413631000814525,j,东莞新乐天牙科器材有限公司,MA3X4130-6,正阳君乐宝乳业有限公司
139,新乐天,君乐宝,0.3413631000814525,k,新乐天牙科器材公司,MA3X4130-6,正阳君乐宝乳业有限公司
142,新乐天,乐百年,0.3399762789460996,j,东莞新乐天牙科器材有限公司,MA207B7G-4,南通乐百年保健食品科技有限公司
143,新乐天,乐百年,0.3399762789460996,k,新乐天牙科器材公司,MA207B7G-4,南通乐百年保健食品科技有限公司
146,乐天,乐百年,0.46778500892567954,l,新乐天,MA207B7G-4,南通乐百年保健食品科技有限公司
147,新乐天,欢乐云,0.32947204163434995,j,东莞新乐天牙科器材有限公司,MA6123FX-3,北京欢乐云国际旅行社有限公司重庆分公司
148,新乐天,欢乐云,0.32947204163434995,k,新乐天牙科器材公司,MA6123FX-3,北京欢乐云国际旅行社有限公司重庆分公司
151,新乐天,新天,0.3284810052885584,j,东莞新乐天牙科器材有限公司,33671361-0,安徽新天生物科技有限公司
152,新乐天,新天,0.3284810052885584,k,新乐天牙科器材公司,33671361-0,安徽新天生物科技有限公司
155,新乐天,天乐信达,0.3116525159888295,j,东莞新乐天牙科器材有限公司,09614403-2,四川天乐信达光电有限公司
156,新乐天,天乐信达,0.3116525159888295,k,新乐天牙科器材公司,09614403-2,四川天乐信达光电有限公司
159,新乐天,开乐特种,0.30701672728326224,j,东莞新乐天牙科器材有限公司,14912370-3,合肥开乐特种车辆有限公司
160,新乐天,开乐特种,0.30701672728326224,k,新乐天牙科器材公司,14912370-3,合肥开乐特种车辆有限公司
163,新乐天,乐普,0.3062060380066032,j,东莞新乐天牙科器材有限公司,MA1MCRL2-8,江苏乐普生物技术有限公司
164,新乐天,乐普,0.3062060380066032,k,新乐天牙科器材公司,MA1MCRL2-8,江苏乐普生物技术有限公司
167,乐天,乐普,0.4213193775343518,l,新乐天,MA1MCRL2-8,江苏乐普生物技术有限公司
168,乐天,乐金,0.41558936560059456,l,新乐天,MA5ANTW5-4,乐金化学（广州）信息电子材料有限公司
169,乐天,乐图,0.4106121313934229,l,新乐天,39447252-8,四川乐图林业有限公司
170,乐天,乐星,0.40626550621745805,l,新乐天,61437062-0,乐星汽车电子（青岛）有限公司
171,乐天,乐驰,0.39865198140600205,l,新乐天,55798527-3,宁波乐驰汽车部件有限公司
172,乐天,乐凯,0.39733784830230867,l,新乐天,74341297-0,保定市乐凯化学有限公司
173,乐天,乐帆,0.38868210182868634,l,新乐天,MA282GRB-4,宁波乐帆办公家具有限公司
174,乐天,乐居,0.3880822040269256,l,新乐天,76637968-3,深圳市乐居家政服务有限公司
175,药研所,药物研究所,0.5310860864364731,m,云南省药研所,43120149-6,云南省药物研究所
176,药研所,生物制品研究所,0.3141855193045664,m,云南省药研所,13270804-3,上海生物制品研究所有限责任公司
177,药研所,研创,0.3106129938672189,m,云南省药研所,05381460-6,宁波研创光电科技有限公司
178,药研所,兵器工业二研究所分所,0.3086942996411221,m,云南省药研所,49350262-2,中国兵器工业第五二研究所烟台分所有限责任公司
179,药研所,中核北研防水,0.2809046118222619,m,云南省药研所,73557182-4,北京中核北研防水装饰工程有限公司
